,x,y,z
0,8.685213,2.4197237,-6.3168283
0,-5.496975,-1.221267,2.789545
0,-0.39767757,-0.012004124,0.57943743
0,3.6217716,0.97864294,-2.0116522
0,-4.116718,-0.81781256,2.3124268
0,0.049358636,0.0993283,0.32511267
0,7.0574503,1.9422837,-4.952067
0,1.9279677,0.48665836,-0.8288394
0,-2.7349737,-0.3810401,1.9260304
0,-3.9904187,-0.77338207,2.2756462
0,4.675621,1.1980313,-2.7757902
0,9.450867,2.6595776,-6.935296
0,-10.631463,-2.9602857,4.916225
0,2.2581975,0.8000538,-1.0891782
0,5.267583,1.3664459,-3.270862
0,-1.8274119,-0.19556141,1.3398075
0,3.4794796,0.94606435,-1.9146605
0,-5.853312,-1.3216121,2.8931346
0,1.890099,0.62726593,-0.8006552
0,6.6997104,1.6725755,-4.6647224
0,2.7249103,0.7741436,-1.3736846
0,-6.9843206,-1.5534034,3.4028718
0,-7.0322146,-1.6808277,3.4028056
0,-2.1217828,-0.26312408,1.2949154
0,-1.6451733,-0.28144112,1.2795852
0,5.887926,1.5224395,-3.825522
0,0.43651298,0.19379313,0.0991449
0,4.042775,1.0540004,-2.2644773
0,9.023781,3.0196564,-6.98236
0,-2.6691258,-0.6025646,1.8171383
0,-0.90290415,-0.12422038,0.86009544
0,4.1599545,1.0843655,-2.3622782
0,-2.9316828,-0.6042608,1.7404544
0,0.15324776,0.12043635,0.2612449
0,-5.334742,-1.1791848,2.735076
0,-7.6182537,-1.6472987,3.4456306
0,-1.5453665,-0.22630246,1.1812112
0,-4.540496,-0.9393657,2.469935
0,-4.277921,-0.8644081,2.3859057
0,8.883277,2.4861898,-7.0223856
0,-10.296782,-3.132527,5.8238764
0,6.3550873,1.6404722,-4.095633
0,-10.034125,-3.157573,6.1394386
0,4.548372,1.1717845,-2.6622045
0,-3.2116773,-0.5638552,1.9182612
0,-3.0243697,-0.38504016,1.9718426
0,3.7766917,1.0087417,-2.10349
0,-8.627747,-2.0488226,3.4331326
0,9.28539,2.762004,-7.2880716
0,-4.8342705,-1.0284733,2.5696836
0,5.715858,1.4721155,-3.661038
0,-9.966002,-2.530473,3.830342
0,-2.3357272,-0.561207,1.4299332
0,1.9160782,0.62488484,-0.8256203
0,9.165167,2.5557916,-6.558533
0,-3.1991446,-0.56676644,2.0224917
0,-7.5980206,-1.5781493,3.347825
0,-4.5256815,-0.9312335,2.4633121
0,2.402809,0.70575804,-1.1632801
0,-6.837903,-1.5229951,3.2077038
0,-7.2234898,-1.818428,3.0994725
0,3.0827632,0.84242165,-1.625777
0,-1.5681084,-0.2570386,1.2299035
0,-1.0395676,-0.15502152,0.92872864
0,-10.487735,-2.7936878,4.396282
0,1.7277837,0.60316616,-0.70286524
0,-2.1637323,-0.3404467,1.233408
0,-10.123974,-2.5993695,3.950297
0,-6.9828944,-1.6636311,3.0008552
0,7.9612513,2.28627,-5.8336043
0,9.225224,2.5923223,-6.572985
0,-7.202782,-1.4295162,3.31203
0,8.34285,2.695067,-6.2950053
0,6.850153,1.8630279,-4.7039833
