,x,y,z
0,33.197315,27.324146,-70.40437
0,-21.824438,-39.714214,-36.580597
0,-19.73862,22.736391,-8.922801
0,-28.737371,42.944874,-18.05528
0,-30.980894,-1.5923799,-35.802624
0,-4.1693254,17.270098,1.2594882
0,19.275175,-0.38580188,-49.186947
0,33.27273,-17.958164,-9.477317
0,37.82511,-32.228004,8.232564
0,-24.097698,-6.561389,-52.530277
0,2.3032541,69.09275,3.6589644
0,-59.316376,25.9121,-41.485
0,-41.05807,-60.013603,32.765392
0,-2.619918,-0.36256343,-46.14024
0,26.089035,44.924088,12.169028
0,36.75547,-38.944138,-12.065736
0,32.014164,28.909605,49.75318
0,-41.66611,21.093721,-5.0670023
0,-32.95073,42.184727,105.179375
0,4.3049793,24.771187,-37.425262
0,-22.904963,65.80158,-1.129167
0,-33.982887,-15.697817,-18.82745
0,-17.742092,-15.350186,-10.66724
0,59.8854,-21.305733,3.8826792
0,-0.49343988,13.1204405,37.612858
0,52.09041,1.3350081,-2.6859944
0,-28.740864,19.742254,-26.422983
0,62.660553,-17.676556,28.967234
0,35.38714,59.224674,-51.365276
0,7.379064,-26.208792,-1.8070477
0,-15.816838,24.082363,35.335682
0,-10.632245,37.910133,-26.683458
0,-33.511166,12.432678,48.594643
0,39.44489,3.3337152,55.967564
0,5.0353127,-32.926086,56.81351
0,-8.627004,-50.069004,42.25185
0,13.164983,11.382062,50.565475
0,-16.995724,-58.27174,-26.256979
0,15.825612,-56.65946,34.06833
0,-53.097565,13.262993,60.813133
0,-71.04162,-45.907562,26.632318
0,15.437113,40.62905,-35.58531
0,-20.012995,81.48904,18.198
0,-6.208636,57.002686,-24.031218
0,40.60361,-36.22504,27.26934
0,-20.993734,5.0304556,34.472847
0,-32.633846,73.63054,-41.506096
0,-8.213979,-62.40657,3.5033376
0,59.99519,59.072872,-3.4591424
0,-5.688887,-8.080912,42.81548
0,32.224895,23.747587,-1.463488
0,-21.647333,-41.43669,57.37712
0,-35.9136,65.85804,-20.54397
0,5.7293487,-21.52077,-55.674732
0,62.26902,28.674206,-23.92956
0,9.346437,-32.869038,16.078104
0,-53.330273,11.697375,13.668842
0,-3.6917987,-23.814688,-22.789742
0,-31.408789,-56.449764,-46.056812
0,-35.732414,1.8505156,-14.59628
0,76.420525,16.827932,21.500174
0,-24.517164,60.862503,26.55874
0,36.197933,-48.243042,-30.667051
0,-21.963102,15.650951,-64.53517
0,-47.455555,-53.401363,17.291832
0,24.908752,-18.214296,-25.125195
0,7.671069,-14.747758,22.279833
0,-42.130825,-35.493587,53.39252
0,-35.730118,4.0315404,5.860983
0,23.521072,16.027847,73.39053
0,19.21221,46.792465,58.20853
0,-62.734577,23.32987,0.37339082
0,38.251274,36.962563,-49.50377
0,17.735798,13.171027,-36.73806
0,-21.688051,21.905031,71.27795
0,-46.495136,-25.298866,38.492523
0,22.23173,-5.7396784,48.2806
0,22.214706,-18.789564,7.000833
0,-19.623005,-51.392967,20.146162
0,-73.64514,-19.490582,20.545124
0,-6.906787,21.140732,19.349167
0,-38.12899,-9.184277,48.562416
0,34.303043,-57.062874,26.949602
0,-12.587672,-34.57088,12.265642
0,12.743261,65.71587,-31.329441
0,-50.53049,35.197025,-19.461031
0,13.414357,53.670544,-2.0796652
0,-45.106045,-60.783726,-28.127186
1,-11.348658,-20.613016,67.60022
1,-63.153194,8.305968,34.545635
0,-16.485174,4.3463874,-2.85317
0,40.541225,57.541546,9.183657
0,55.024147,-23.94529,-38.845448
0,-21.17366,17.063572,9.573708
0,11.666162,31.32298,13.6535015
0,63.109894,8.710523,47.962402
0,30.009245,-38.229416,-64.60632
0,-14.4285555,-11.823317,-32.548645
0,-63.066814,-11.199726,29.486683
0,-56.27733,34.603737,19.038383
0,-24.765287,50.279804,-36.82943
0,47.916645,11.295324,-45.811733
0,40.32052,39.6801,0.8197475
0,36.912163,76.528625,-14.988526
0,48.76837,-71.9651,35.282337
0,-9.049865,-71.421005,28.279753
0,-52.484623,2.3933349,-2.7987201
0,11.866459,-83.03142,-5.812865
0,45.46184,2.6260803,-25.330393
0,71.507706,163.63231,-8.122729
0,1.4232013,105.19006,-79.3883
0,40.030193,13.811969,25.22636
0,24.257784,46.402435,-62.569057
0,-24.647404,-48.9952,-8.717135
0,16.974747,26.075207,-23.49765
0,64.69455,43.694706,-36.752098
0,-47.102215,-15.578733,-38.730503
0,14.838155,78.00425,-12.192201
0,-30.527111,-18.254654,66.53745
0,10.448488,13.224615,-58.988235
0,-27.55291,28.68643,-49.90886
0,23.418623,3.1516547,-70.46516
0,-44.52273,-37.055546,-32.114506
0,46.702244,-71.8306,9.051195
0,130.4857,9.506184,51.628914
0,49.350006,22.338844,-8.186234
0,55.796814,-4.4731264,-41.345318
0,-68.07482,-32.615017,43.568817
0,-0.058689952,25.988382,59.24126
0,3.8266969,31.809546,-57.98754
0,-3.1740777,-70.32778,-21.89087
0,32.68399,3.9941812,-5.3615704
0,55.43603,28.161528,-44.888126
0,58.68202,42.619408,14.27755
0,-16.526205,43.565514,27.512768
0,-16.14355,-22.916647,-70.14116
0,14.96583,-53.81205,-55.014168
0,-12.560832,-2.4429018,20.562933
0,-77.23669,-33.365925,4.13738
0,-29.925703,-22.770285,-38.01307
0,69.41008,38.667564,-8.611018
0,-36.097675,15.606738,28.601183
0,48.377068,28.054379,12.129877
0,-12.70845,79.96861,-21.962622
0,46.704037,35.9544,-30.905272
0,22.868801,-44.97241,17.42668
0,31.870098,-25.95271,55.291336
0,43.1477,-44.91746,49.466003
0,-78.34512,-18.192226,35.78076
0,12.124513,-9.506237,-12.996981
0,13.369632,-85.61472,-30.405157
0,41.274754,12.046776,8.16734
0,-14.725346,16.07695,-39.934536
0,13.585776,45.31045,-18.549133
0,9.475987,-14.6405,-35.304893
0,61.429714,12.767664,-32.356155
0,100.39607,28.574198,13.256266
0,51.302914,28.973682,-63.157047
0,-1.0728825,-11.521603,6.898533
0,-34.566628,-53.328102,49.97855
0,28.197897,-13.064737,-61.30301
0,-37.923195,-22.604841,-56.394066
0,-39.969376,-32.753895,5.1486645
0,87.01941,37.90503,-27.89342
0,-33.33008,-21.816645,18.34259
0,36.423744,37.450886,31.903496
0,31.225601,29.338598,18.28671
0,-30.19432,-13.664441,32.845505
0,-16.507797,-25.737986,-49.398506
0,32.11926,-14.699227,34.254997
0,152.31938,-21.453096,-7.1845345
0,-29.57937,-69.70592,16.931932
0,-34.674175,-12.731311,-0.94737345
0,47.712063,9.19911,-68.92716
0,-47.7227,29.2974,40.892155
0,-57.97614,-40.148033,7.7599998
0,-32.693604,-49.005924,7.862155
0,-80.354645,10.996815,-21.60091
0,-18.249552,-22.234747,45.981476
