,x,y,z,cluster
0,2.423156,4.7534266,-12.723791,0
0,2.4706964,-2.4448352,-5.129346,0
0,-6.256898,-6.6968055,0.11490334,0
0,-6.508908,-3.7097123,8.71005,0
0,11.672158,3.2746248,-8.373257,0
0,-6.693466,-10.946592,2.2758262,0
0,-10.697662,2.1402466,-9.7032995,0
0,4.704292,-4.9030185,12.021103,0
0,8.613622,-2.513371,-0.30857828,0
0,12.063437,3.3585143,-7.113758,0
0,-11.425019,-8.145133,2.9116025,0
0,-0.6948484,5.5780983,-3.4647336,0
0,-8.377977,-0.059020963,-1.7927617,0
0,2.263356,-3.3036323,14.447337,0
0,-11.044623,-3.1090167,2.2187505,0
0,3.9769013,-3.9375997,1.9219776,0
0,-5.0722876,-4.4104285,8.866053,0
0,2.4613698,-5.3350973,-4.087117,0
0,5.5023837,-5.0234823,12.579124,0
0,-12.453338,2.211914,-5.5242167,0
0,-1.0409195,-1.2246668,12.860302,0
0,-1.6454154,-13.595258,0.9867469,0
0,-1.2391279,-13.655381,1.465493,0
0,5.566074,-3.4280264,3.4693062,0
0,2.8918726,-4.2545247,1.1160517,0
0,-14.763549,0.22857586,2.1595957,0
0,-4.9045815,-10.689714,6.821342,0
0,-10.403526,-3.6775646,8.012671,0
0,-0.01907447,3.7829638,-5.2510815,0
0,8.562251,-2.2101471,0.014760638,0
0,-3.229796,-5.349247,3.789309,0
0,-11.073769,-5.5031133,7.486359,0
0,8.735704,-3.0984018,-1.1542118,0
0,-6.137369,-11.164003,3.5598125,0
0,2.3252249,-1.0768219,-6.315129,0
0,4.224577,-12.836291,3.8219137,0
0,1.771378,-4.646386,0.96665096,0
0,8.70067,2.2888236,-10.743656,0
0,10.7863035,3.0385723,-9.780653,0
0,-0.5642775,3.6414266,-8.218976,0
0,-7.878319,10.107661,-0.92218703,0
0,-14.37817,-0.39696777,-2.1193967,0
0,-6.428458,11.897427,3.7739513,0
0,-11.356907,-8.342952,4.3636065,0
0,10.219491,-2.380084,-3.6779134,0
0,9.500898,-3.4577122,-1.9142765,0
0,-7.616364,-3.1775906,8.540507,0
0,8.606484,-10.559641,-3.519789,0
0,-1.912076,7.1290145,-2.4631796,0
0,6.1307034,1.070131,-9.969615,0
0,-13.537783,-0.23654215,3.4835584,0
0,-1.0714846,-4.005456,-9.524558,0
0,7.4199047,-1.9597075,3.3305225,0
0,5.1563387,-4.8892126,12.71376,0
0,-0.3497769,4.0710163,-8.800105,0
0,10.760473,-2.6567948,-3.6474783,0
0,3.7046468,-12.952186,3.7901032,0
0,8.869098,2.3595324,-10.721443,0
0,0.95344794,-2.3524776,14.431739,0
0,-2.7208512,-13.561897,-0.66242725,0
0,0.38335174,-13.496803,2.764692,0
0,-1.8607624,-3.0219913,10.135247,0
0,2.1951838,-4.493947,0.97086453,0
0,-1.6718835,-5.6238403,3.5979397,0
0,-9.953013,-7.747696,-5.495712,0
0,6.4204993,-5.5887146,11.565696,0
0,5.5994935,-3.3963583,3.454735,0
0,-2.5642538,-6.4777265,-8.922186,0
0,-1.9995805,-13.813325,0.58284277,0
0,-3.4660044,0.9849226,-12.982268,0
0,-0.50337505,3.8215914,-8.5126915,0
0,-0.25669056,-13.486139,2.3758552,0
0,1.8676312,3.071421,-14.244367,0
0,-12.08627,3.0470493,-7.5520525,0
0,-12.587694,2.1538928,-5.656135,0
0,-2.8735445,-6.9612393,-8.830256,0
0,0.63085914,-5.110396,1.4999958,0
0,8.631507,-2.9400063,-0.87404823,0
0,5.187845,-6.9410176,-8.362757,0
0,-7.417423,7.7566133,9.12437,0
0,-6.6061935,-8.86714,0.09348354,0
0,9.293055,-10.880776,-1.5496005,0
0,11.720616,3.3276272,-8.586969,0
0,8.135515,-11.309765,2.5617192,0
0,2.9834957,-4.2243333,1.1518945,0
0,2.1246154,-3.2547095,14.340864,0
0,-13.333772,0.5413937,-4.3118844,0
0,6.711341,-6.511704,9.597631,0
1,-1.6846228,-13.825583,1.011154,0
1,-9.812795,1.9653423,9.308358,0
0,-6.945963,-10.157309,0.9122471,0
0,-13.609742,0.026776223,-3.2951317,0
0,-7.426498,-1.2643502,-8.537009,0
0,-6.6346936,-11.252575,3.2465012,0
0,-11.420096,-8.263789,4.567482,0
0,3.5073278,-4.121054,13.700036,0
0,-8.170721,-0.5942663,-2.3489215,0
0,11.852628,2.5454938,-4.676578,0
0,-8.037949,7.203779,8.952812,0
0,7.583039,-9.893523,-5.3349905,0
0,-3.6947043,-4.489882,9.4167,0
0,-1.747332,1.3124832,-14.521114,0
0,-11.736383,-1.5504979,3.451386,0
0,5.5605583,-7.559378,-7.8764496,0
0,-11.797995,2.995523,-8.163243,0
0,-7.6546392,-8.641126,-7.5817223,0
0,8.469794,-11.15645,2.2162154,0
0,-0.35852,4.9583163,-3.93897,0
0,-8.004991,-0.5920447,-9.039792,0
0,-2.7656012,-13.588683,-0.72239566,0
0,5.180377,-6.938702,-8.364318,0
0,-11.2250185,-5.4597144,1.3025407,0
0,0.022404315,3.8157387,-4.989424,0
0,1.7825291,-13.276794,3.3510892,0
0,-13.069528,1.141552,-4.905631,0
0,-0.5114898,3.2924523,-6.926388,0
0,2.5780358,-3.7591972,-4.3438187,0
0,1.9889787,3.2502832,-14.115222,0
0,-3.061423,-13.450636,-1.2812032,0
0,-9.327387,0.43567246,-9.88263,0
0,-3.3556495,-5.288305,3.708205,0
0,-7.2250624,-0.6423994,-8.807318,0
0,-0.5495743,-13.585652,2.1182663,0
0,-14.061468,-0.2865653,-3.4692767,0
0,-11.354203,-2.3459358,2.9077911,0
0,-13.010286,0.86252093,-4.4234734,0
0,-2.509059,1.1556591,-14.0376425,0
0,-5.6384435,11.476147,5.6780453,0
0,-1.5223818,-9.282238,8.882971,0
0,-6.343142,-0.8823128,-8.567251,0
0,10.003043,2.791429,-10.360052,0
0,-15.106063,0.75689346,1.1499138,0
0,2.1464064,5.2583747,-11.835829,0
0,-14.487624,-0.40490717,-1.8864897,0
0,2.620019,-3.7170057,13.835422,0
0,-2.6521428,-13.565475,-0.55108964,0
0,-14.234004,-0.42243993,-3.099525,0
0,10.336471,-2.83182,-3.4206367,0
0,-6.0181885,11.726051,4.8274393,0
0,4.1494026,0.2736291,-8.435581,0
0,-1.860959,7.0667562,-2.501872,0
0,8.359585,-1.0675691,1.8605633,0
0,-11.389106,-2.3148658,2.9449332,0
0,-8.255307,-0.40803927,-2.1862779,0
0,-0.562731,3.2736337,-7.11819,0
0,10.893311,-0.91847384,-4.032064,0
0,2.5178564,-3.133125,-4.641251,0
0,-4.9042454,-4.4591894,8.683372,0
0,-7.609551,7.591361,9.081154,0
0,1.6327997,-7.981253,8.010964,0
0,-6.308988,-8.489469,0.009103202,0
0,-11.048777,-3.1211896,2.2134526,0
0,-6.069918,-11.15236,3.580965,0
0,-15.104155,0.71358746,1.1326959,0
0,-2.1829429,-9.550012,8.78232,0
0,-0.61560416,3.3612175,-7.6062512,0
0,7.078594,-2.2706795,3.5835886,0
0,1.9352713,5.3528585,-11.4926,0
0,3.1984487,-4.156913,1.2656047,0
0,-3.2466764,-7.3474393,-8.682369,0
0,-7.141569,-1.3412526,-8.446328,0
0,5.9137383,0.9332657,-9.864544,0
0,2.0140605,-2.548286,-11.974242,0
0,9.359684,-3.335827,-2.0822027,0
0,6.903875,-9.248453,-6.3554454,0
0,-11.384398,-7.2916384,6.3045545,0
0,-11.324885,-6.357876,1.3204029,0
0,7.3637447,-9.710578,-5.676636,0
0,6.1015887,1.07824,-9.936717,0
0,6.3162584,-2.9727416,3.7824278,0
0,-12.8476715,1.2381228,-4.7465534,0
0,-9.189636,-5.2457566,-3.764422,0
0,-0.8761892,-13.702298,1.8390692,0
0,0.50779563,2.009028,-14.731165,0
0,5.9782295,-3.218788,3.722852,0
0,-8.779639,-8.543004,-7.076329,0
0,1.3389994,-2.6965375,-11.607565,0
0,-9.99094,4.042318,3.0933971,0
0,7.1350703,-11.797787,3.2711358,0
0,-11.422847,-7.070029,1.6901195,0
0,-1.6917549,-13.699529,0.95984095,0
0,4.6367655,0.49255958,-8.833069,0
0,-13.483406,-0.2597447,3.507465,0
0,-3.2566216,8.6413965,-1.5621533,0
0,9.629681,2.6613898,-10.529712,0
0,-11.483893,-8.177041,3.3646176,0
0,3.6957593,-2.5336215,-12.398362,0
0,-7.8535657,-2.6154008,-3.3598518,0
0,-1.0061038,-3.9338777,-9.595891,0
0,0.43891183,4.9733357,-9.765832,0
0,-15.124294,0.72215176,0.9669248,0
0,5.161746,-6.8891854,-8.404605,0
0,8.518894,-1.4097358,0.9484598,0
0,-3.6340535,-5.24248,3.6860955,0
0,-9.017575,6.194222,8.599299,0
0,-1.1335989,-1.2832823,12.459146,0
0,8.60935,-11.107005,2.0297847,0
0,-1.0187484,-5.6110325,3.1214762,0
0,-4.155084,0.3991721,-10.337287,0
0,8.8440485,-10.697742,-2.9550192,0
0,-14.64266,0.20765162,2.366603,0
0,4.029883,-4.567792,12.653938,0
0,8.61572,2.2544289,-10.756058,0
0,-14.0712595,-0.2928338,-2.538523,0
0,-11.95467,3.0134308,-7.9124703,0
0,1.7285933,-6.8448496,-4.9654293,0
0,-5.8029337,-11.089855,5.4354777,0
0,0.007592812,3.925579,-4.8968396,0
0,0.6250555,5.115376,-9.957534,0
0,-2.7371707,-9.831033,8.265923,0
0,3.3428354,-7.588335,7.629274,0
0,2.4492166,-5.3850713,-4.092785,0
0,1.2890064,2.4695556,-14.585267,0
0,1.2178116,-7.503999,-5.5873504,0
0,5.009422,-3.6502073,3.0304642,0
0,-9.775184,0.95826757,-10.047762,0
0,-0.48242962,3.855234,-8.548705,0
0,-10.9815035,-3.6997218,1.7816885,0
0,4.3196664,-7.5229597,7.7864175,0
0,0.15833694,-1.7607006,14.204024,0
0,10.155928,-3.2109506,-2.8551366,0
0,-2.2520928,1.2047418,-14.339267,0
0,7.6789546,1.8296757,-10.670722,0
0,0.6789559,-2.1290593,14.435551,0
0,-11.485521,-8.143841,4.9574056,0
0,-1.1895508,-1.3107015,12.288857,0
0,9.209929,-10.963621,0.83915585,0
0,-10.724911,7.6567507,-0.0025686629,0
0,-10.273825,-3.55258,8.028053,0
0,3.5063338,-2.508604,-12.382252,0
0,-0.8483341,-13.624035,1.8539286,0
0,12.035613,3.3336828,-7.0941463,0
0,5.325793,-7.2150383,8.094589,0
0,-8.078585,-0.8847924,-2.5755515,0
0,1.737478,5.3929577,-11.210631,0
0,-15.015937,0.66152835,1.4888483,0
0,-9.896463,-3.2614737,8.22645,0
0,-8.842775,-8.526472,-7.0368414,0
0,9.182073,-10.968009,0.9123156,0
0,1.0060512,-7.7483854,-5.784426,0
0,-0.19710137,1.7054241,-14.722316,0
0,-6.0707808,-3.9595551,8.890005,0
0,-11.444993,-8.022747,2.6673543,0
0,6.5549116,-12.059173,3.5317504,0
0,-0.62765884,3.4524353,-7.899808,0
